model,threshold,fit_time_s,predict_time_s,epochs_run,best_epoch,best_monitor_loss,accuracy,f1,precision,recall,positive_rate_true,positive_rate_pred,average_precision,roc_auc
complex,0.5,0.31544150318950415,0.0002990281209349632,137,37,0.4773956537246704,0.6926605504587156,0.21176470588235294,0.15789473684210525,0.32142857142857145,0.12844036697247707,0.26146788990825687,0.22638025364310074,0.6159774436090226
transr,0.5,0.22023772355169058,0.0002622278407216072,108,8,0.31126558780670166,0.8715596330275229,0.0,0.0,0.0,0.12844036697247707,0.0,0.19412963400185468,0.6390977443609023
transe,0.5,0.10900778416544199,0.00019988231360912323,120,20,0.31863370537757874,0.8715596330275229,0.0,0.0,0.0,0.12844036697247707,0.0,0.3253061602857942,0.8255639097744362
distmult,0.5,0.09921564068645239,0.00014827679842710495,127,27,0.5160244703292847,0.7568807339449541,0.0,0.0,0.0,0.12844036697247707,0.11467889908256881,0.11051953473786527,0.4257518796992481
