model,threshold,fit_time_s,predict_time_s,accuracy,f1,precision,recall,positive_rate_true,positive_rate_pred,average_precision,roc_auc
tabpfn,0.5,0.22363430634140968,0.5124650066718459,0.9736842105263158,0.9760765550239234,0.9532710280373832,1.0,0.5368421052631579,0.5631578947368421,0.9807529753503844,0.982174688057041
tabicl,0.5,0.2535503478720784,0.09876364842057228,0.9526315789473684,0.9560975609756097,0.9514563106796117,0.9607843137254902,0.5368421052631579,0.5421052631578948,0.9737766432672224,0.9715909090909091
