model,threshold,fit_time_s,predict_time_s,accuracy,f1,precision,recall,positive_rate_true,positive_rate_pred,average_precision,roc_auc
tabpfn,0.5,0.22547901328653097,0.5171902989968657,0.4270833333333333,0.5299145299145299,0.44285714285714284,0.6595744680851063,0.4895833333333333,0.7291666666666666,0.41886850852554464,0.3656100738167607
tabicl,0.5,0.3717209827154875,0.10186413675546646,0.4375,0.41304347826086957,0.4222222222222222,0.40425531914893614,0.4895833333333333,0.46875,0.4171865066696342,0.37950499348675637
distmult,0.5,0.39938502572476864,0.0001717153936624527,1.0,1.0,1.0,1.0,0.4895833333333333,0.4895833333333333,1.0,1.0
