model,threshold,fit_time_s,predict_time_s,epochs_run,best_epoch,best_monitor_loss,accuracy,f1,precision,recall,positive_rate_true,positive_rate_pred,average_precision,roc_auc
complex,0.5,2.762842908501625,0.0003357008099555969,1000,994,3.6228695989848347e-06,0.7811447811447811,0.7882736156351792,0.7908496732026143,0.7857142857142857,0.5185185185185185,0.5151515151515151,0.8430515666266661,0.8609572245935883
transr,0.5,2.7458847034722567,0.0002185320481657982,1000,1000,8.255710417870432e-05,0.8552188552188552,0.8377358490566038,1.0,0.7207792207792207,0.5185185185185185,0.37373737373737376,0.9999999999999999,1.0
transe,0.5,2.2021833388134837,0.00015427637845277786,1000,1000,7.685540185775608e-05,0.9966329966329966,0.996742671009772,1.0,0.9935064935064936,0.5185185185185185,0.5151515151515151,1.0,1.0
distmult,0.5,1.5510347597301006,0.00015376880764961243,874,774,0.4625810980796814,0.0,0.0,0.0,0.0,0.5185185185185185,0.48148148148148145,0.32299933691927185,0.0
