model,threshold,fit_time_s,predict_time_s,epochs_run,best_epoch,best_monitor_loss,accuracy,f1,precision,recall,positive_rate_true,positive_rate_pred,average_precision,roc_auc
complex,0.5,1.7869181875139475,0.0004567001014947891,1000,1000,0.3127063810825348,0.7407407407407407,0.7586206896551724,0.6875,0.8461538461538461,0.48148148148148145,0.5925925925925926,0.8286669433430567,0.8296703296703296
transr,0.5,0.22993174754083157,0.0003856997936964035,104,4,0.6449571847915649,0.5185185185185185,0.0,0.0,0.0,0.48148148148148145,0.0,0.9999999999999998,1.0
transe,0.5,1.292552512139082,0.00026317592710256577,1000,1000,0.0637103021144867,1.0,1.0,1.0,1.0,0.48148148148148145,0.48148148148148145,1.0,1.0
distmult,0.5,0.09951075538992882,0.00017752870917320251,101,1,0.7048837542533875,0.14814814814814814,0.14814814814814814,0.14285714285714285,0.15384615384615385,0.48148148148148145,0.5185185185185185,0.33643016569582934,0.0989010989010989
