model,threshold,fit_time_s,predict_time_s,epochs_run,best_epoch,best_monitor_loss,accuracy,f1,precision,recall,positive_rate_true,positive_rate_pred,average_precision,roc_auc
complex,0.5,0.31637919601053,0.00036103464663028717,141,41,0.6254994869232178,0.5,0.5471698113207547,0.4915254237288136,0.6170212765957447,0.4895833333333333,0.6145833333333334,0.5394282197533645,0.5349544072948328
transr,0.5,1.333412928506732,0.00027076806873083115,1000,1000,0.00033214123686775565,1.0,1.0,1.0,1.0,0.4895833333333333,0.4895833333333333,1.0000000000000002,1.0
transe,0.5,1.0016903644427657,0.00020555779337882996,1000,1000,0.00035806369851343334,1.0,1.0,1.0,1.0,0.4895833333333333,0.4895833333333333,1.0,1.0
distmult,0.5,0.8369670808315277,0.00015203189104795456,1000,999,2.6275418349541724e-05,1.0,1.0,1.0,1.0,0.4895833333333333,0.4895833333333333,1.0000000000000002,1.0
