model,threshold,fit_time_s,predict_time_s,epochs_run,best_epoch,best_monitor_loss,accuracy,f1,precision,recall,positive_rate_true,positive_rate_pred,average_precision,roc_auc
complex,0.5,0.3493627533316612,0.0003160005435347557,135,35,0.6760399341583252,0.5208333333333334,0.5106382978723404,0.5853658536585366,0.4528301886792453,0.5520833333333334,0.4270833333333333,0.5906040551751106,0.5173321632294866
transr,0.5,0.43222632445394993,0.0002680802717804909,293,193,0.12086290121078491,0.9791666666666666,0.9807692307692307,1.0,0.9622641509433962,0.5520833333333334,0.53125,0.9927611438000737,0.9872751206669592
transe,0.5,0.2737857745960355,0.000190013088285923,273,173,0.1400860846042633,0.9791666666666666,0.9807692307692307,1.0,0.9622641509433962,0.5520833333333334,0.53125,0.9977987421383647,0.9969284774023695
distmult,0.5,0.08468851260840893,0.0001490199938416481,101,1,0.6956581473350525,0.3333333333333333,0.1794871794871795,0.28,0.1320754716981132,0.5520833333333334,0.2604166666666667,0.4586945173423005,0.3247038174637999
