model,threshold,fit_time_s,predict_time_s,epochs_run,best_epoch,best_monitor_loss,accuracy,f1,precision,recall,positive_rate_true,positive_rate_pred,average_precision,roc_auc
complex,0.5,0.27511531487107277,0.0003100307658314705,101,1,0.6945419311523438,0.5234375,0.46956521739130436,0.5192307692307693,0.42857142857142855,0.4921875,0.40625,0.5481257034952438,0.5406593406593406
transr,0.5,1.3194874227046967,0.0002685859799385071,1000,1000,0.032927654683589935,1.0,1.0,1.0,1.0,0.4921875,0.4921875,0.9999999999999998,1.0
transe,0.5,0.9912347514182329,0.00019807647913694382,1000,1000,0.033635593950748444,1.0,1.0,1.0,1.0,0.4921875,0.4921875,1.0,1.0
distmult,0.5,0.8663759296759963,0.0001569315791130066,1000,999,2.1775376808363944e-05,1.0,1.0,1.0,1.0,0.4921875,0.4921875,1.0,1.0
