model,threshold,fit_time_s,predict_time_s,accuracy,f1,precision,recall,positive_rate_true,positive_rate_pred,average_precision,roc_auc
tabpfn,0.5,0.23537330143153667,0.5262239333242178,0.625,0.64,0.6808510638297872,0.6037735849056604,0.5520833333333334,0.4895833333333333,0.7412590868523506,0.7222465993856955
tabicl,0.5,0.2552435752004385,0.10080499667674303,0.6354166666666666,0.6534653465346535,0.6875,0.6226415094339622,0.5520833333333334,0.5,0.7339295834148554,0.7279508556384379
distmult,0.5,0.11202164366841316,0.00016520358622074127,0.3229166666666667,0.0,0.0,0.0,0.5520833333333334,0.125,0.3667013118620702,0.08512505484861785
