dataset,llm_model,llm_accuracy,llm_f1,llm_precision,llm_recall,llm_valid_prediction_rate,llm_total_valid_predictions,llm_total_expected_predictions,llm_n,llm_true_positive_rate,llm_predicted_positive_rate,llm_tp,llm_tn,llm_fp,llm_fn,llm_data_path,llm_num_runs,llm_icl_size,llm_test_size_per_run,llm_mean_batch_elapsed_s,llm_sampling,llm_reveal_symmetry,llm_metrics_path
random_demo_0.0,qwen3:8b,0.5019546520719312,0.1629434954007884,0.5081967213114754,0.0970266040688575,0.99921875,1279,1280,1279,0.4996090695856137,0.0953870211102423,62,580,60,577,/home/alessandrocagiano/data/on_inductive_abilities_tfm/experiment_2/TFMsInductiveAbilities/symmetry_demo_fraction_datasets/random_demo_0.0/symmetry_friendship_atoms.csv,20,64,64,7.341747999424115,balanced,False,/home/alessandrocagiano/data/on_inductive_abilities_tfm/experiment_2/TFMsInductiveAbilities/llm_exp/results/random_demo_0.0/metrics.csv
random_demo_0.1,qwen3:8b,0.5015625,0.1039325842696629,0.5138888888888888,0.0578125,1.0,1280,1280,1280,0.5,0.05625,37,605,35,603,/home/alessandrocagiano/data/on_inductive_abilities_tfm/experiment_2/TFMsInductiveAbilities/symmetry_demo_fraction_datasets/random_demo_0.1/symmetry_friendship_atoms.csv,20,64,64,7.301782348006964,balanced,False,/home/alessandrocagiano/data/on_inductive_abilities_tfm/experiment_2/TFMsInductiveAbilities/llm_exp/results/random_demo_0.1/metrics.csv
random_demo_0.25,qwen3:8b,0.48671875,0.1274900398406374,0.4247787610619469,0.075,1.0,1280,1280,1280,0.5,0.08828125,48,575,65,592,/home/alessandrocagiano/data/on_inductive_abilities_tfm/experiment_2/TFMsInductiveAbilities/symmetry_demo_fraction_datasets/random_demo_0.25/symmetry_friendship_atoms.csv,20,64,64,7.297937453864142,balanced,False,/home/alessandrocagiano/data/on_inductive_abilities_tfm/experiment_2/TFMsInductiveAbilities/llm_exp/results/random_demo_0.25/metrics.csv
random_demo_0.5,qwen3:8b,0.4980453479280688,0.1596858638743455,0.4919354838709677,0.0953125,0.99921875,1279,1280,1279,0.5003909304143862,0.0969507427677873,61,576,63,579,/home/alessandrocagiano/data/on_inductive_abilities_tfm/experiment_2/TFMsInductiveAbilities/symmetry_demo_fraction_datasets/random_demo_0.5/symmetry_friendship_atoms.csv,20,64,64,7.300586303509772,balanced,False,/home/alessandrocagiano/data/on_inductive_abilities_tfm/experiment_2/TFMsInductiveAbilities/llm_exp/results/random_demo_0.5/metrics.csv
sequential_demo_0.0,qwen3:8b,0.6419077404222049,0.4830699774266365,0.8699186991869918,0.334375,0.99921875,1279,1280,1279,0.5003909304143862,0.1923377638780297,214,607,32,426,/home/alessandrocagiano/data/on_inductive_abilities_tfm/experiment_2/TFMsInductiveAbilities/symmetry_demo_fraction_datasets/sequential_demo_0.0/symmetry_friendship_atoms.csv,20,64,64,7.320742856245488,balanced,False,/home/alessandrocagiano/data/on_inductive_abilities_tfm/experiment_2/TFMsInductiveAbilities/llm_exp/results/sequential_demo_0.0/metrics.csv
sequential_demo_0.1,qwen3:8b,0.6546875,0.524731182795699,0.8413793103448276,0.38125,1.0,1280,1280,1280,0.5,0.2265625,244,594,46,396,/home/alessandrocagiano/data/on_inductive_abilities_tfm/experiment_2/TFMsInductiveAbilities/symmetry_demo_fraction_datasets/sequential_demo_0.1/symmetry_friendship_atoms.csv,20,64,64,7.315913197677583,balanced,False,/home/alessandrocagiano/data/on_inductive_abilities_tfm/experiment_2/TFMsInductiveAbilities/llm_exp/results/sequential_demo_0.1/metrics.csv
sequential_demo_0.25,qwen3:8b,0.63203125,0.4818481848184818,0.8141263940520446,0.3421875,1.0,1280,1280,1280,0.5,0.21015625,219,590,50,421,/home/alessandrocagiano/data/on_inductive_abilities_tfm/experiment_2/TFMsInductiveAbilities/symmetry_demo_fraction_datasets/sequential_demo_0.25/symmetry_friendship_atoms.csv,20,64,64,7.307070034509524,balanced,False,/home/alessandrocagiano/data/on_inductive_abilities_tfm/experiment_2/TFMsInductiveAbilities/llm_exp/results/sequential_demo_0.25/metrics.csv
sequential_demo_0.5,qwen3:8b,0.62265625,0.4390243902439024,0.8552036199095022,0.2953125,1.0,1280,1280,1280,0.5,0.17265625,189,608,32,451,/home/alessandrocagiano/data/on_inductive_abilities_tfm/experiment_2/TFMsInductiveAbilities/symmetry_demo_fraction_datasets/sequential_demo_0.5/symmetry_friendship_atoms.csv,20,64,64,7.30214061466977,balanced,False,/home/alessandrocagiano/data/on_inductive_abilities_tfm/experiment_2/TFMsInductiveAbilities/llm_exp/results/sequential_demo_0.5/metrics.csv
