model,threshold,fit_time_s,predict_time_s,accuracy,f1,precision,recall,positive_rate_true,positive_rate_pred,average_precision,roc_auc
tabpfn,0.5,0.26379295624792576,0.4767319140955806,0.6447811447811448,0.6355785837651122,0.6571428571428571,0.6153846153846154,0.5033670033670034,0.4713804713804714,0.6671757872588753,0.6716002494189672
tabicl,0.5,0.31969457771629095,0.10243085864931345,0.632996632996633,0.6706948640483383,0.6115702479338843,0.7424749163879598,0.5033670033670034,0.6111111111111112,0.8192572952112585,0.7670540218808457
