model,threshold,fit_time_s,predict_time_s,epochs_run,best_epoch,best_monitor_loss,accuracy,f1,precision,recall,positive_rate_true,positive_rate_pred,average_precision,roc_auc
complex,0.44,0.3197002662345767,0.0003046402707695961,137,37,0.4773956537246704,0.6284403669724771,0.19801980198019803,0.136986301369863,0.35714285714285715,0.12844036697247707,0.3348623853211009,0.22638025364310074,0.6159774436090226
transr,0.16,0.22668493818491697,0.0002712709829211235,108,8,0.31126558780670166,0.7660550458715596,0.2153846153846154,0.1891891891891892,0.25,0.12844036697247707,0.16972477064220184,0.19412963400185468,0.6390977443609023
transe,0.08603473752737045,0.11676926258951426,0.00019052904099225998,120,20,0.31863370537757874,0.6100917431192661,0.38848920863309355,0.24324324324324326,0.9642857142857143,0.12844036697247707,0.5091743119266054,0.3253061602857942,0.8255639097744362
distmult,0.23,0.10590209905058146,0.00014181062579154968,127,27,0.5160244703292847,0.41743119266055045,0.18064516129032257,0.11023622047244094,0.5,0.12844036697247707,0.5825688073394495,0.11051953473786527,0.4257518796992481
